Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
L1,470n,Pkg0603_3,143.707042,-108.09666,90.0,top
L2,1u,Pkg0402_7,145.039195,-111.115818,90.0,top
L3,1n,Pkg0201_40,133.586425,-115.779501,-90.0,top
L4,1n,Pkg0201_9,131.238224,-115.98694,90.0,top
R1,0R,Pkg0201_18,149.537024,-104.185183,-90.0,top
R2,845R,Pkg0201_6,141.792098,-102.310479,-90.0,top
R3,196R,Pkg0201_17,140.822064,-102.312925,-90.0,top
R4,20K,Pkg0201_29,140.817568,-101.729855,-90.0,top
R5,10K,Pkg0201_39,141.702538,-103.393157,-90.0,top
R6,10K,Pkg0201_4,141.79804,-102.855393,-90.0,top
R7,10K,Pkg0201_16,141.775155,-101.741826,-90.0,top
R8,1K,Pkg0201_28,142.994403,-104.772808,0.0,top
R9,0R,Pkg0201_25,136.082463,-107.990123,0.0,top
R10,0R,Pkg0201_34,133.155481,-109.757773,90.0,top
R12,8K2,Pkg0201_20,149.508078,-105.34044,-90.0,top
R13,8K2,Pkg0201_20,149.537744,-104.758607,-90.0,top
R14,8K2,Pkg0201_5,133.121752,-108.564533,90.0,top
R15,8K2,Pkg0201_5,133.131581,-109.124322,90.0,top
R16,8K2,Pkg0201_30,134.619836,-106.366536,90.0,top
R17,8K2,Pkg0201_30,134.618615,-105.290821,90.0,top
R18,100K,Pkg0201_13,136.458667,-99.764658,180.0,top
U1,DA14705-00000HZ2,LP,139.180165,-112.285086,180.0,top
U2,AT25FF321A-UUN-T,WLCSP_12,144.075068,-115.406336,0.0,top
U3,BQ51003YFPR,LP_7,144.213236,-102.962187,-90.0,top
U4,DA7212-01UM2,LP_3,151.306976,-106.165097,-90.0,top
U5,FH19C-6S-0.5SH(10),LP_5,148.75,-115.095,0.0,top
U6,23-23B/R6GHBHW-C30/2A,LP_4,150.471949,-99.968314,180.0,top
U7,TPD4S012DRYR,SON_6_L1_5_W1_0_P0_50_BL,136.231335,-101.979704,0.0,top
U9,LSM6DSOXTR,LP_1,131.204964,-108.983651,-90.0,top
U12,DRV2605YZFR,LP_8,133.308637,-105.839878,90.0,top
U13,CSD75207W15,LP_6,137.875928,-101.400299,0.0,top
U14,EVPBB4A9B000,LP_2,127.83,-106.78,90.0,top
U15,EVPBB4A9B000,LP_2,137.83,-106.78,90.0,top
U16,EVPBB4A9B000,LP_2,147.83,-106.78,90.0,top
U17,~,Pkg_2450AT18D0100_STD_R_1,128.331496,-116.185195,180.0,top
XTAL1,XRCGB32M000F1H00R0,CRYSTAL_SMD_4P_L2_0_W1_6_BL_1,134.256026,-112.534541,-90.0,top
