"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
51;"U14,U16,U15";"LP_1";3;"~";;;
52;"C36";"Pkg0201_2";1;"100n";;;
53;"";"dummy99";1;"";;;
54;"";"dummy117";1;"";;;
55;"";"dummy94";1;"";;;
56;"";"dummy0";1;"";;;
57;"";"dummy82";1;"";;;
58;"C12";"Pkg0402";1;"10u";;;
59;"R11";"Pkg0201_22";1;"0R";;;
60;"";"dummy64";1;"";;;
61;"U9";"LP";1;"~";;;
62;"C15";"Pkg0201_42";1;"470n";;;
63;"";"dummy66";1;"";;;
64;"C21";"Pkg0201_16";1;"270p";;;
65;"";"dummy53";1;"";;;
66;"";"dummy101";1;"";;;
67;"";"dummy9";1;"";;;
68;"";"dummy86";1;"";;;
69;"";"dummy27";1;"";;;
70;"";"dummy56";1;"";;;
71;"C32";"Pkg0201_35";1;"1u";;;
72;"L2";"Pkg0402_5";1;"1u";;;
73;"R20";"Pkg0201_15";1;"0R";;;
74;"";"dummy10";1;"";;;
75;"R4";"Pkg0201_34";1;"20K";;;
76;"";"dummy38";1;"";;;
77;"C18";"Pkg0201_30";1;"22n";;;
78;"";"dummy59";1;"";;;
79;"R21";"Pkg0201_25";1;"0R";;;
80;"C3";"Pkg0603";1;"22u";;;
81;"";"dummy55";1;"";;;
82;"";"dummy43";1;"";;;
83;"";"dummy76";1;"";;;
84;"C42";"Pkg0201_14";1;"100n";;;
85;"";"dummy116";1;"";;;
86;"C13";"Pkg0201";1;"1u";;;
87;"";"dummy42";1;"";;;
88;"";"dummy75";1;"";;;
89;"C14";"Pkg0201_45";1;"2.2u";;;
90;"XTAL1";"CRYSTAL_SMD_4P_L2_0_W1_6_BL_1";1;"~";;;
91;"R18";"Pkg0201_40";1;"100K";;;
92;"";"dummy93";1;"";;;
93;"";"dummy84";1;"";;;
94;"";"dummy26";1;"";;;
95;"";"dummy50";1;"";;;
96;"C19";"Pkg0201_41";1;"10n";;;
97;"";"dummy103";1;"";;;
98;"";"dummy13";1;"";;;
99;"";"dummy58";1;"";;;
100;"";"dummy5";1;"";;;
101;"";"dummy28";1;"";;;
102;"";"dummy79";1;"";;;
103;"";"dummy36";1;"";;;
104;"";"dummy34";1;"";;;
105;"";"dummy4";1;"";;;
106;"C28";"Pkg0201_12";1;"1u";;;
107;"";"dummy15";1;"";;;
108;"";"dummy6";1;"";;;
109;"R3";"Pkg0201_6";1;"10K";;;
110;"";"dummy87";1;"";;;
111;"";"dummy2";1;"";;;
112;"U17";"Pkg_2450AT18D0100_STD_R_1";1;"~";;;
113;"";"dummy109";1;"";;;
114;"C29";"Pkg0201_46";1;"1u";;;
115;"U3";"LP_5";1;"~";;;
116;"";"dummy91";1;"";;;
117;"R13,R12";"Pkg0201_1";2;"8K2";;;
118;"";"dummy80";1;"";;;
119;"";"dummy110";1;"";;;
120;"R8";"Pkg0201_31";1;"1K";;;
121;"C11";"Pkg0402_7";1;"10u";;;
122;"";"dummy35";1;"";;;
123;"";"dummy61";1;"";;;
124;"";"dummy60";1;"";;;
125;"C24";"Pkg0402_1";1;"4.7u";;;
126;"";"dummy20";1;"";;;
127;"";"dummy24";1;"";;;
128;"C20";"Pkg0201_3";1;"10n";;;
129;"C30";"Pkg0201_33";1;"1u";;;
130;"";"dummy97";1;"";;;
131;"";"dummy54";1;"";;;
132;"R1";"Pkg0201_47";1;"0R";;;
133;"";"dummy63";1;"";;;
134;"C6";"Pkg0805_1";1;"47u";;;
135;"";"dummy74";1;"";;;
136;"U4";"LP_2";1;"~";;;
137;"";"dummy19";1;"";;;
138;"";"dummy45";1;"";;;
139;"";"dummy73";1;"";;;
140;"";"dummy111";1;"";;;
141;"";"dummy51";1;"";;;
142;"C48";"Pkg0201_37";1;"1u";;;
143;"";"dummy30";1;"";;;
144;"";"dummy14";1;"";;;
145;"";"dummy98";1;"";;;
146;"";"dummy49";1;"";;;
147;"";"dummy22";1;"";;;
148;"R2";"Pkg0201_9";1;"845R";;;
149;"C8";"Pkg0402_4";1;"10u";;;
150;"";"dummy72";1;"";;;
151;"C4";"Pkg0805";1;"47u";;;
152;"U1";"LP_7";1;"~";;;
153;"R10";"Pkg0201_17";1;"0R";;;
154;"U7";"SON_6_L1_5_W1_0_P0_50_BL";1;"~";;;
